"ID"	"NAME"	"DESCRIPTION"	"REVERSE"	"WORDCLASSES"	"REFLEXIVE"	"TRANSITIVE"
1	"hypernym"	"er"	"hyponym"	"noun_noun"	"f"	"t"
2	"hyponym"	"getur verið"	"hypernym"	"noun_noun"	"f"	"t"
3	"propertyOf"	"er eiginleiki"	"hasProperty"	"noun_noun"	"f"	"t"
4	"hasProperty"	"hefur eiginleika"	"propertyOf"	"noun_noun"	"f"	"t"
5	"attributeOf"	"er eiginleiki"	"hasAttribute"	"adj_noun"	"f"	"t"
6	"hasAttribute"	"hefur eiginleika"	"attributeOf"	"noun_adj"	"f"	"t"
7	"coord_noun"	"og"	"coord_noun"	"noun_noun"	"t"	"f"
8	"coord_adj"	"og"	"coord_adj"	"adj_adj"	"t"	"f"
9	"áAcc"	"á (+ þf.)"	"áAcc_inv"	"noun_noun"	"f"	"f"
10	"áDat"	"á (+ þgf.)"	"áDat_inv"	"noun_noun"	"f"	"f"
11	"að"	"að"	"að_inv"	"noun_noun"	"f"	"f"
12	"af"	"af"	"af_inv"	"noun_noun"	"f"	"f"
13	"án"	"án"	"án_inv"	"noun_noun"	"f"	"f"
14	"andspænis"	"andspænis"	"andspænis_inv"	"noun_noun"	"f"	"f"
15	"eftirAcc"	"eftir (+ þf.)"	"eftirAcc_inv"	"noun_noun"	"f"	"f"
16	"eftirDat"	"eftir (+ þgf.)"	"eftirDat_inv"	"noun_noun"	"f"	"f"
17	"frá"	"frá"	"frá_inv"	"noun_noun"	"f"	"f"
18	"from_to_time"	"frá-til"	"to_from_time"	"noun_noun"	"f"	"f"
19	"from_to"	"frá-til"	"to_from"	"noun_noun"	"f"	"f"
20	"fyrirAcc"	"fyrir (+ þf.)"	"fyrirAcc_inv"	"noun_noun"	"f"	"f"
21	"fyrirDat"	"fyrir (+ þgf.)"	"fyrirDat_inv"	"noun_noun"	"f"	"f"
22	"gegn"	"gegn"	"gegn_inv"	"noun_noun"	"f"	"f"
23	"gegnum"	"gegnum"	"gegnum_inv"	"noun_noun"	"f"	"f"
24	"hjá"	"hjá"	"hjá_inv"	"noun_noun"	"f"	"f"
25	"í_stað"	"í stað"	"í_stað_inv"	"noun_noun"	"f"	"f"
26	"íAcc"	"í (+ þf.)"	"íAcc_inv"	"noun_noun"	"f"	"f"
27	"íDat"	"í (+ þgf.)"	"íDat_inv"	"noun_noun"	"f"	"f"
